Metro,Total,Year,Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Phoenix,1850458,2014,61.66614,32.6858,5.64806
Phoenix,2035158,2017,59.53666,33.15531,7.30803
Phoenix,2004889,2023,60.07609,33.09655,6.82736
Phoenix,1969362,2016,60.56525,31.82178,7.61297
"Pittsburgh,",1046303,2011,62.212,30.19556,7.59245
"Pittsburgh,",889849,2021,62.9863,30.28873,6.72496
"Pittsburgh,",1078307,2015,60.56689,31.38429,8.04882
"Pittsburgh,",1078091,2014,60.943,31.24569,7.81131
"Pittsburgh,",1085621,2018,59.82972,32.16012,8.01016
"Pittsburgh,",1018500,2023,62.26716,30.93805,6.7948
"Pittsburgh,",1082263,2017,58.8357,32.71857,8.44573
"Pittsburgh,",1076505,2013,61.34454,31.21667,7.43879
"Pittsburgh,",956275,2022,61.36467,31.43782,7.19751
"Pittsburgh,",1077328,2016,59.80676,32.20022,7.99302
"Pittsburgh,",1075791,2019,58.2418,33.17763,8.58057
"Pittsburgh,",1074950,2012,61.16247,30.69966,8.13787
"Pittsburgh,",1041694,2010,62.24025,30.22183,7.53791
Riverside,1752109,2016,53.78324,28.47814,17.73862
Riverside,1881728,2023,52.71516,29.5598,17.72504
Riverside,1883477,2019,52.34744,29.21804,18.43452
Riverside,1694146,2021,53.98986,29.54143,16.46871
Riverside,1581538,2012,56.26738,27.38101,16.35161
Riverside,1542364,2011,56.161,27.54369,16.29531
Riverside,1806328,2017,54.48839,28.43481,17.0768
Riverside,1553153,2010,57.06862,27.14613,15.78524
Riverside,1858427,2022,53.29582,29.697,17.00718
Riverside,1734404,2015,56.05689,27.07789,16.86522
Riverside,1888778,2018,54.28595,27.99906,17.715
Riverside,1617168,2013,55.61426,28.31394,16.0718
Riverside,1669146,2014,55.12148,28.65399,16.22452
San Antonio,1081096,2017,62.07885,31.136,6.78515
San Antonio,1027594,2015,61.61032,31.45104,6.93864
San Antonio,922848,2011,64.35621,29.70803,5.93576
San Antonio,1158502,2019,59.9456,32.14358,7.91082
San Antonio,1090691,2022,60.90148,31.92536,7.17316
San Antonio,990802,2013,65.41721,28.52164,6.06115
San Antonio,1114952,2023,59.44893,32.73935,7.81173
San Antonio,1019269,2014,63.88088,30.10893,6.01019
San Antonio,1101570,2018,60.87294,32.48572,6.64134
San Antonio,1019865,2021,62.39041,31.20237,6.40722
San Antonio,1058898,2016,60.91248,32.35949,6.72803
San Antonio,933859,2010,64.29675,30.33317,5.37008
San Antonio,971730,2012,64.90517,29.21388,5.88095
San Diego,1350683,2022,63.42102,30.62206,5.95691
San Diego,1239125,2021,66.42792,28.34508,5.22699
San Diego,1327049,2011,68.16184,26.23437,5.60379
San Diego,1476292,2015,62.9788,29.87092,7.15028
San Diego,1307266,2010,67.59711,26.77864,5.62426
San Diego,1546445,2019,59.51734,32.50125,7.9814
San Diego,1535345,2017,61.46742,31.40929,7.12328
San Diego,1383027,2013,66.31027,27.96901,5.72071
San Diego,1430884,2014,65.2122,28.40035,6.38745
San Diego,1407306,2023,63.15229,30.54567,6.30204
San Diego,1540361,2018,61.10191,31.52605,7.37204
San Diego,1490686,2016,62.64505,30.22119,7.13376
San Diego,1361160,2012,66.49409,27.88394,5.62197
San Francisco,1864429,2023,50.93919,34.12224,14.93857
San Francisco,2161255,2015,47.44003,35.58321,16.97676
San Francisco,1718516,2022,52.32049,34.84157,12.83794
San Francisco,1923369,2010,54.42346,34.76124,10.81529
San Francisco,2100937,2014,49.38654,35.33033,15.28313
San Francisco,1493862,2021,55.50707,33.50986,10.98308
San Francisco,1920727,2011,53.4166,35.2857,11.2977
San Francisco,1991876,2012,51.71793,34.93822,13.34385
San Francisco,2048701,2013,50.51445,35.69535,13.7902
San Francisco,2264018,2019,44.91585,35.6389,19.44525
San Francisco,2210949,2017,45.43456,36.62414,17.9413
San Francisco,2180631,2016,46.07648,36.7539,17.16962
San Francisco,2254095,2018,45.40323,36.01614,18.58063
Seattle,1416094,2021,56.08752,34.32555,9.58693
Seattle,1773998,2015,52.53715,35.68533,11.77752
Seattle,1824275,2016,51.64183,36.15403,12.20414
Seattle,1921071,2018,49.66979,37.15703,13.17317
Seattle,1586303,2022,55.75454,34.6181,9.62735
Seattle,1709231,2023,55.54352,33.80198,10.6545
Seattle,1683444,2013,55.62525,34.74936,9.62539
Seattle,1608829,2011,57.21273,34.27219,8.51508
Seattle,1664598,2012,55.76578,34.99548,9.23875
Seattle,1736873,2014,52.94469,36.07903,10.97628
Seattle,1963614,2019,49.11724,38.40475,12.47801
Seattle,1571812,2010,58.47366,33.52093,8.00541
Seattle,1872114,2017,50.32268,37.37999,12.29733
"St. Louis,",1165009,2022,64.26319,30.66208,5.07472
"St. Louis,",1307667,2017,61.53455,32.81286,5.65259
"St. Louis,",1310504,2015,62.46932,31.73947,5.79121
"St. Louis,",1274322,2014,62.83341,31.54838,5.6182
"St. Louis,",1325342,2018,61.13886,32.87152,5.98962
"St. Louis,",1256594,2010,63.94659,30.58227,5.47114
"St. Louis,",1260056,2011,64.28024,30.30508,5.41468
"St. Louis,",1263271,2012,63.0533,31.03333,5.91338
"St. Louis,",1228194,2023,64.80703,29.96416,5.22882
"St. Louis,",1323479,2019,61.66709,32.69089,5.64202
"St. Louis,",1109252,2021,65.90081,29.46643,4.63276
