Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Corvallis, OR Metro Area",35865,1402,6650,9893,7307,3624,1586,2012,626,557,839,761,608,2010
"Crestview-Fort Walton Beach-Destin, FL Metro Area",82399,3639,11830,13337,13231,12316,3951,10737,2534,2365,4651,2508,1300,2010
"Cullman, AL Micro Area",28608,903,3808,4920,5016,4313,1527,2520,286,523,2173,1745,874,2010
"Cumberland, MD-WV Metro Area",36518,1537,6113,6092,5396,6534,1920,2780,574,524,1474,1002,2572,2010
"Dallas-Fort Worth-Arlington, TX Metro Area",2863105,61451,226403,357197,416351,414572,194419,494886,96693,130510,264703,156364,49556,2010
"Dalton, GA Metro Area",56840,926,5480,10292,12753,11482,3063,6916,549,1434,1799,743,1403,2010
"Danville, IL Metro Area",30840,1319,5190,6625,5638,3415,1576,3246,686,805,1106,693,541,2010
"Danville, VA Metro Area",41526,584,5467,6375,9025,6554,2557,4177,910,1094,2077,1802,904,2010
"Daphne-Fairhope-Foley, AL Micro Area",72896,2918,6122,9330,9960,11579,4595,11349,1577,3650,5477,4320,2019,2010
"Davenport-Moline-Rock Island, IA-IL Metro Area",171320,9136,23120,35752,32774,28638,11675,14742,3487,2679,3955,2976,2386,2010
"Dayton, OH Metro Area",354282,11685,47214,62701,66996,63052,23534,34276,7446,7842,14028,10200,5308,2010
"Decatur, AL Metro Area",62818,1944,7008,10415,8409,7684,4114,8661,3215,3589,5466,1772,541,2010
"Decatur, IL Metro Area",43924,1655,6692,11221,9556,6751,1761,2351,654,540,1202,1144,397,2010
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",181102,4212,13753,31595,29686,30162,9263,26642,4357,5671,13926,8358,3477,2010
"Denver-Aurora-Broomfield, CO Metro Area",1178595,20258,83808,139502,174656,189289,90925,207206,40714,53997,105521,51458,21261,2010
"Des Moines-West Des Moines, IA Metro Area",282010,7744,34206,46946,54075,58773,22762,29311,5071,5616,9901,3977,3628,2010
"Detroit-Warren-Livonia, MI Metro Area",1683119,35187,134773,211427,242800,266413,129412,269706,64537,72468,146919,82829,26648,2010
"Dothan, AL Metro Area",60984,1995,7223,12208,10527,8568,2645,9165,910,1718,3891,1228,906,2010
"Dover, DE Metro Area",67200,651,8902,10395,12205,10886,2777,7507,902,2953,4117,3825,2080,2010
"DuBois, PA Micro Area",31651,3033,3524,5419,5175,3295,841,3382,545,1080,1945,2202,1210,2010
"Dubuque, IA Metro Area",46602,2502,9373,12264,8434,6714,1818,2593,275,275,828,893,633,2010
"Duluth, MN-WI Metro Area",122456,6439,18579,23536,21297,18573,7585,11294,1619,2642,4677,3471,2744,2010
"Dunn, NC Micro Area",45326,1027,5236,5498,6312,6366,2389,7205,1150,2009,4772,2899,463,2010
"Durham-Chapel Hill, NC Metro Area",218733,6153,20666,35775,40441,38156,18224,25789,4813,7890,11023,6810,2993,2010
"East Liverpool-Salem, OH Micro Area",41912,2443,6778,5155,5451,5204,2057,4605,1783,1828,3469,2094,1045,2010
"East Stroudsburg, PA Micro Area",69010,2386,6043,7515,8950,8268,2394,5286,1430,2474,7517,5740,11007,2010
"Eau Claire, WI Metro Area",78113,3569,12872,18614,17906,8432,3861,6000,1588,853,2142,1093,1183,2010
