Metro Area,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour,No Commute (%),Yes Commute (more than 5 minutes) (%),Short Commutes - Less than half-hour (%),Medium Commutes - Half-hour to one hour (%),Long Commutes - More than one hour (%)
Milwaukee,753357,2015,17221,736136,500368,207382,28386,2.2859,97.7141,67.97222,28.1717,3.85608
Milwaukee,707464,2011,18309,689155,475911,185063,28181,2.58798,97.41202,69.05718,26.85361,4.08921
Milwaukee,728602,2013,19395,709207,488311,187408,33488,2.66195,97.33805,68.8531,26.42501,4.72189
Milwaukee,748063,2016,17939,730124,509162,192443,28519,2.39806,97.60194,69.73637,26.35758,3.90605
Minneapolis,1585973,2010,35777,1550196,983213,485689,81294,2.25584,97.74416,63.42508,31.33081,5.24411
Minneapolis,1836758,2018,31649,1805109,1119976,583247,101886,1.72309,98.27691,62.04479,32.3109,5.64431
Minneapolis,1559291,2022,39245,1520046,1015398,432184,72464,2.51685,97.48315,66.80048,28.4323,4.76722
Minneapolis,1836359,2019,33447,1802912,1099558,592799,110555,1.82138,98.17862,60.98789,32.88009,6.13202
Minneapolis,1790878,2016,37547,1753331,1098559,555641,99131,2.09657,97.90343,62.65554,31.69059,5.65387
Minneapolis,1723294,2013,39524,1683770,1056528,532494,94748,2.29351,97.70649,62.74776,31.6251,5.62713
Minneapolis,1430832,2021,41864,1388968,948217,382346,58405,2.92585,97.07415,68.26774,27.52734,4.20492
Minneapolis,1657563,2012,37625,1619938,1034974,494562,90402,2.2699,97.7301,63.88973,30.52969,5.58058
Minneapolis,1826361,2017,33577,1792784,1110934,576920,104930,1.83846,98.16154,61.96697,32.18012,5.85291
Minneapolis,1618675,2011,36194,1582481,1001258,497120,84103,2.23603,97.76397,63.27141,31.41396,5.31463
Minneapolis,1618919,2023,41613,1577306,1059334,447618,70354,2.57042,97.42958,67.16097,28.37864,4.46039
Minneapolis,1757506,2014,39482,1718024,1063801,551277,102946,2.24648,97.75352,61.92003,32.08785,5.99212
Minneapolis,1779099,2015,35355,1743744,1079978,565265,98501,1.98724,98.01276,61.93444,32.41674,5.64882
Nashville,873327,2022,22948,850379,479267,302116,68996,2.62765,97.37235,56.35922,35.52722,8.11356
Nashville,933984,2019,15591,918393,515732,314864,87797,1.6693,98.3307,56.15592,34.28423,9.55985
Nashville,934026,2018,21880,912146,505576,325052,81518,2.34255,97.65745,55.42709,35.63596,8.93695
Nashville,749125,2012,15424,733701,438494,246835,48372,2.05894,97.94106,59.76467,33.64245,6.59288
Nashville,728071,2011,14555,713516,422899,246350,44267,1.99912,98.00088,59.26973,34.52621,6.20407
Nashville,831349,2014,18291,813058,470164,280826,62068,2.20016,97.79984,57.82662,34.53948,7.6339
Nashville,866057,2015,17502,848555,487757,289371,71427,2.02088,97.97912,57.48089,34.10162,8.41749
Nashville,918456,2017,16818,901638,516782,302901,81955,1.83112,98.16888,57.31591,33.59452,9.08957
Nashville,812165,2013,15751,796414,475294,263910,57210,1.93938,98.06062,59.67926,33.13729,7.18345
Nashville,876750,2016,16024,860726,483431,303475,73820,1.82766,98.17234,56.16549,35.25803,8.57648
Nashville,817727,2021,21743,795984,472117,269600,54267,2.65896,97.34104,59.31237,33.87003,6.8176
Nashville,928801,2023,16826,911975,504869,325718,81388,1.81158,98.18842,55.35996,35.71567,8.92437
Nashville,687132,2010,16830,670302,401051,229036,40215,2.44931,97.55069,59.83139,34.16908,5.99953
New Orleans,555879,2014,13534,542345,339137,161217,41991,2.4347,97.5653,62.5316,29.72591,7.74249
New Orleans,551401,2017,10067,541334,342758,153573,45003,1.82571,98.17429,63.31729,28.36936,8.31335
New Orleans,562014,2015,12342,549672,345228,160236,44208,2.19603,97.80397,62.80618,29.1512,8.04261
New Orleans,509226,2010,10521,498705,316430,139105,43170,2.06608,97.93392,63.45034,27.89324,8.65642
New Orleans,519728,2012,16135,503593,313519,149545,40529,3.10451,96.89549,62.25643,29.69561,8.04797
New Orleans,399035,2023,7969,391066,253550,114152,23364,1.99707,98.00293,64.8356,29.18996,5.97444
New Orleans,489781,2021,14467,475314,298682,143290,33342,2.95377,97.04623,62.83888,30.14639,7.01473
New Orleans,550219,2018,12149,538070,334024,159637,44409,2.20803,97.79197,62.07817,29.66844,8.25339
New Orleans,567802,2019,13537,554265,344510,163154,46601,2.38411,97.61589,62.15619,29.4361,8.40771
New Orleans,546032,2013,15696,530336,330161,153063,47112,2.87456,97.12544,62.25506,28.86151,8.88342
New Orleans,510504,2022,12796,497708,306783,148512,42413,2.50654,97.49346,61.63915,29.83918,8.52166
New Orleans,519336,2011,14154,505182,322374,142928,39880,2.7254,97.2746,63.81344,28.29238,7.89418
New Orleans,556147,2016,13301,542846,338327,158843,45676,2.39163,97.60837,62.32467,29.26115,8.41417
New York,8296382,2011,151029,8145353,3552997,2930978,1661378,1.82042,98.17958,43.61993,35.98344,20.39664
New York,9186623,2015,136305,9050318,3780918,3302783,1966617,1.48373,98.51627,41.77663,36.49356,21.72981
New York,8317168,2023,149145,8168023,3409091,3045597,1713335,1.79322,98.20678,41.73704,37.28683,20.97613
New York,9382250,2017,143258,9238992,3767449,3360567,2110976,1.5269,98.4731,40.77771,36.37374,22.84855
New York,8249679,2010,143014,8106665,3566986,2922800,1616879,1.73357,98.26643,44.00066,36.05428,19.94506
New York,8022549,2022,161871,7860678,3337481,2878172,1645025,2.0177,97.9823,42.45793,36.61481,20.92727
New York,9082578,2014,158267,8924311,3740145,3302694,1881472,1.74253,98.25747,41.90962,37.00783,21.08255
New York,7057098,2021,146018,6911080,3073828,2551736,1285516,2.06909,97.93091,44.47681,36.92239,18.6008
New York,8458242,2012,143520,8314722,3569484,3047719,1697519,1.69681,98.30319,42.92969,36.65449,20.41582
New York,9192943,2016,133681,9059262,3698374,3353458,2007430,1.45417,98.54583,40.82423,37.0169,22.15887
New York,9258386,2018,134606,9123780,3631830,3397627,2094323,1.45388,98.54612,39.8062,37.23925,22.95455
New York,9033594,2019,123125,8910469,3486800,3369146,2054523,1.36297,98.63703,39.1315,37.8111,23.05741
New York,8888158,2013,146827,8741331,3735438,3203609,1802284,1.65194,98.34806,42.73306,36.64898,20.61796
"Oklahoma City,",617069,2015,17288,599781,423374,154137,22270,2.80163,97.19837,70.5881,25.69888,3.71302
"Oklahoma City,",574523,2011,19512,555011,394126,140178,20707,3.39621,96.60379,71.01229,25.2568,3.73092
"Oklahoma City,",559144,2010,16849,542295,394281,129414,18600,3.01336,96.98664,72.706,23.86413,3.42987
"Oklahoma City,",603019,2013,17438,585581,419863,140323,25395,2.89178,97.10822,71.70024,23.96304,4.33672
"Oklahoma City,",619648,2016,16577,603071,424455,155423,23193,2.67523,97.32477,70.38226,25.77192,3.84582
"Oklahoma City,",638993,2023,17744,621249,416743,176935,27571,2.77687,97.22313,67.08148,28.48053,4.438
"Oklahoma City,",635209,2017,12231,622978,431712,167286,23980,1.92551,98.07449,69.29811,26.85263,3.84925
"Oklahoma City,",600256,2021,13417,586839,401449,160289,25101,2.23521,97.76479,68.40871,27.31397,4.27732
"Oklahoma City,",649424,2018,18222,631202,438813,166168,26221,2.80587,97.19413,69.52022,26.32565,4.15414
"Oklahoma City,",607125,2014,15772,591353,417290,150694,23369,2.59782,97.40218,70.5653,25.48292,3.95179
"Oklahoma City,",588529,2012,18131,570398,412034,138960,19404,3.08073,96.91927,72.23623,24.36194,3.40184
"Oklahoma City,",632824,2022,16661,616163,408859,178343,28961,2.6328,97.3672,66.35566,28.94413,4.70022
"Oklahoma City,",641700,2019,13149,628551,424936,174518,29097,2.04909,97.95091,67.60565,27.76513,4.62922
Orlando,966991,2012,11510,955481,556109,331967,67405,1.19029,98.80971,58.20199,34.74344,7.05456
Orlando,1167007,2023,13865,1153142,602754,449644,100744,1.18808,98.81192,52.27058,38.99294,8.73648
Orlando,1183801,2018,22253,1161548,611106,458308,92134,1.87979,98.12021,52.61134,39.45666,7.932
Orlando,950262,2011,13589,936673,551644,327138,57891,1.43003,98.56997,58.89398,34.92553,6.18049
Orlando,1119577,2022,18920,1100657,601613,404966,94078,1.68992,98.31008,54.65944,36.79312,8.54744
Orlando,1200416,2019,14664,1185752,586857,485301,113594,1.22158,98.77842,49.49239,40.9277,9.57991
Orlando,1008179,2014,11511,996668,551067,376468,69133,1.14176,98.85824,55.29093,37.77266,6.93641
Orlando,1071243,2015,12288,1058955,575293,409735,73927,1.14708,98.85292,54.32648,38.69239,6.98113
Orlando,1087825,2016,13936,1073889,572050,420157,81682,1.28109,98.71891,53.26901,39.12481,7.60619
Orlando,991095,2013,14218,976877,556789,357824,62264,1.43457,98.56543,56.99684,36.62938,6.37378
Orlando,1129969,2017,15793,1114176,577919,448350,87907,1.39765,98.60235,51.86963,40.2405,7.88987
Orlando,1031896,2021,14413,1017483,550114,382641,84728,1.39675,98.60325,54.06616,37.60662,8.32722
Orlando,921988,2010,13393,908595,537846,316951,53798,1.45262,98.54738,59.19535,34.88364,5.92101
Philadelphia,2604278,2023,55782,2548496,1364712,909449,274335,2.14194,97.85806,53.5497,35.68571,10.76458
Philadelphia,2621007,2010,58214,2562793,1418017,873414,271362,2.22105,97.77895,55.33092,34.08055,10.58853
Philadelphia,2750522,2016,54943,2695579,1422925,952924,319730,1.99755,98.00245,52.78736,35.35137,11.86127
Philadelphia,2544979,2022,57404,2487575,1372621,863805,251149,2.25558,97.74442,55.17908,34.72478,10.09614
Philadelphia,2836136,2019,60159,2775977,1419395,1007802,348780,2.12116,97.87884,51.13137,36.30441,12.56423
Philadelphia,2808466,2018,50923,2757543,1424460,999386,333697,1.8132,98.1868,51.65686,36.2419,12.10124
Philadelphia,2287095,2021,60682,2226413,1258746,778110,189557,2.65323,97.34677,56.53695,34.94904,8.51401
Philadelphia,2629000,2012,62516,2566484,1418495,883091,264898,2.37794,97.62206,55.26997,34.40859,10.32144
Philadelphia,2730097,2014,60951,2669146,1449917,922603,296626,2.23256,97.76744,54.32138,34.56548,11.11314
Philadelphia,2600131,2011,59740,2540391,1410112,858859,271420,2.29758,97.70242,55.50768,33.80814,10.68418
Philadelphia,2684735,2013,60042,2624693,1435474,908076,281143,2.23642,97.76358,54.69112,34.59742,10.71146
Philadelphia,2761221,2017,53545,2707676,1404793,976008,326875,1.93918,98.06082,51.88187,36.04597,12.07216
Philadelphia,2761490,2015,61510,2699980,1434496,951072,314412,2.22742,97.77258,53.12988,35.22515,11.64498
Phoenix,1787166,2021,49067,1738099,1068965,558950,110184,2.74552,97.25448,61.50196,32.1587,6.33934
Phoenix,1969362,2016,45085,1924277,1147664,626686,149927,2.28932,97.71068,59.64131,32.56735,7.79134
Phoenix,2100531,2018,39431,2061100,1230506,670958,159636,1.87719,98.12281,59.70142,32.55339,7.74518
Phoenix,1771920,2012,36884,1735036,1031914,597535,105587,2.08158,97.91842,59.47508,34.43934,6.08558
Phoenix,1712701,2011,33006,1679695,1001611,573063,105021,1.92713,98.07287,59.63053,34.11709,6.25239
Phoenix,1920473,2015,37718,1882755,1129972,622344,130439,1.964,98.036,60.01694,33.05496,6.92809
Phoenix,2035158,2017,37765,1997393,1173900,674763,148730,1.85563,98.14437,58.77161,33.78219,7.44621
Phoenix,1913284,2022,43643,1869641,1128245,629870,111526,2.28105,97.71895,60.34554,33.68936,5.9651
