Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
Riverside,1542364,34370,127380,207120,227525,193796,76016,208323,37224,50306,128971,158406,92927,2011
Riverside,1806328,33174,133724,222514,251703,245375,97749,247693,46651,67548,151734,172922,135541,2017
Riverside,1553153,42666,144897,210173,218845,198975,70807,199270,32369,53540,136442,151884,93285,2010
Riverside,1858427,38045,132893,206853,260545,252597,99531,264075,50012,70780,167030,201450,114616,2022
Riverside,1734404,34207,136166,218866,251834,238326,92854,224467,37637,64510,143026,176103,116408,2015
Riverside,1888778,35319,140202,231383,254198,264257,99982,247543,44113,75294,161890,205852,128745,2018
Riverside,1617168,35670,132506,198888,232698,210962,88652,210897,42590,61855,142542,160952,98956,2013
Riverside,1669146,32660,141888,206097,229140,218138,92135,222956,38916,66860,149545,175208,95603,2014
San Antonio,1081096,16100,71302,141013,171900,191081,79736,171229,33935,40099,91347,48492,24862,2017
San Antonio,1027594,15386,77842,121145,164396,184275,70060,170539,32375,37169,83106,49389,21912,2015
San Antonio,922848,23495,76490,113029,150831,161528,68537,149408,27372,33139,64241,36356,18422,2011
San Antonio,1158502,22671,87259,132694,178838,186326,86683,191868,34643,44763,101110,61566,30081,2019
San Antonio,1090691,22119,79113,121191,172394,173173,96257,176186,35732,43604,92685,51888,26349,2022
San Antonio,990802,25254,80382,124914,167409,173984,76212,148382,31513,30903,71795,39942,20112,2013
San Antonio,1114952,21128,77574,127284,179995,171317,85529,187770,39866,43445,93947,58410,28687,2023
San Antonio,1019269,20727,81027,133428,169373,172639,73924,164470,27855,33921,80645,40928,20332,2014
San Antonio,1101570,17672,79994,131345,181971,174432,85144,174698,34114,48089,100952,50440,22719,2018
San Antonio,1019865,22830,82863,126705,156603,164714,82583,167903,31950,35553,82816,44500,20845,2021
San Antonio,1058898,18331,80321,124546,166081,176111,79611,174734,38147,40715,89058,47307,23936,2016
San Antonio,933859,24053,74879,118082,159050,154601,69776,153187,25646,36684,67752,36083,14066,2010
San Antonio,971730,23624,84245,122000,157153,171239,72442,155364,27637,37133,63746,37648,19499,2012
San Diego,1350683,24321,93781,168388,227570,237227,105330,225987,44338,54346,88936,51844,28615,2022
San Diego,1239125,21675,84299,163651,228818,232044,92638,196713,35866,46774,71878,44043,20726,2021
San Diego,1327049,25225,103197,186503,240173,246817,102626,190899,35630,44762,76852,49324,25041,2011
San Diego,1476292,21318,112317,180053,247007,258619,110437,234706,43426,58920,103930,70931,34628,2015
San Diego,1307266,28411,109690,187423,222330,238230,97590,195839,33188,47301,73740,47749,25775,2010
San Diego,1546445,17049,99783,184280,253942,255202,110147,249352,58219,68659,126384,86416,37012,2019
San Diego,1535345,19388,101514,193882,246558,271810,110585,252021,47130,64957,118133,77002,32365,2017
San Diego,1383027,22591,99734,185963,246891,248179,113731,207625,39649,47513,92032,48745,30374,2013
San Diego,1430884,27989,106621,190517,251114,249405,107465,221771,37801,56111,90693,61671,29726,2014
San Diego,1407306,32414,96323,160293,232471,256579,110666,217201,53020,58087,101563,63562,25127,2023
San Diego,1540361,19489,100855,195018,254032,262331,109465,252802,46249,66620,119944,80452,33104,2018
San Diego,1490686,22833,109921,195204,247810,247912,110161,232770,45297,62281,110155,74642,31700,2016
San Diego,1361160,24230,96577,188783,247126,245649,102726,211875,35091,46827,85752,51112,25412,2012
San Francisco,1864429,25181,102084,197415,263247,248838,112960,273655,63659,98677,200194,204424,74095,2023
San Francisco,2161255,22503,114465,219285,279460,275651,113936,327058,68598,116353,257035,265184,101727,2015
San Francisco,1718516,24302,110877,201935,236869,227428,97725,264782,61129,91038,181809,163840,56782,2022
San Francisco,1923369,30917,128812,233864,277327,262071,113773,312607,62218,94940,198822,163938,44080,2010
San Francisco,2100937,28271,126851,223840,265510,276449,116659,320446,71669,108608,241545,244254,76835,2014
San Francisco,1493862,30357,106206,168652,222571,217944,83469,222793,53230,75739,148829,120664,43408,2021
San Francisco,1920727,31543,127196,222601,280194,255843,108610,308020,59731,99965,210026,173420,43578,2011
San Francisco,1991876,30251,130436,219878,268688,269119,111785,310916,59980,102800,222230,205973,59820,2012
San Francisco,2048701,27780,120681,227131,270246,273012,116040,324598,61817,112436,232440,211152,71368,2013
San Francisco,2264018,33849,114577,214614,267514,267021,119328,326744,75418,129659,275050,310606,129638,2019
San Francisco,2210949,27058,121739,211463,265459,262668,116148,318099,77796,124354,289492,283828,112845,2017
San Francisco,2180631,26611,117748,213415,268085,261090,117809,329050,77492,120025,274900,272408,101998,2016
San Francisco,2254095,26477,107570,222052,281890,264193,121250,336791,75566,123272,276209,293318,125507,2018
Seattle,1416094,33233,98643,150505,197228,206951,107692,227266,53005,68108,137703,100625,35135,2021
Seattle,1773998,29427,116115,177165,235099,254461,119741,281694,71062,97354,182947,152218,56715,2015
Seattle,1824275,29746,112197,183848,236626,250299,129373,279606,68326,96404,215213,160905,61732,2016
Seattle,1921071,27171,118937,177289,230741,265297,134757,307275,76171,108288,222079,182556,70510,2018
Seattle,1586303,33886,112045,180714,214975,216698,126118,248619,61845,81378,157306,111752,40967,2022
Seattle,1709231,32620,117889,183770,239960,246594,128534,252192,63170,94830,167562,133817,48293,2023
