Metro Area,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Philadelphia,2629000,2012,62516,2566484,1418495,883091,264898
Philadelphia,2761221,2017,53545,2707676,1404793,976008,326875
Philadelphia,2730097,2014,60951,2669146,1449917,922603,296626
Philadelphia,2544979,2022,57404,2487575,1372621,863805,251149
Phoenix,2100531,2018,39431,2061100,1230506,670958,159636
Phoenix,1788231,2013,37586,1750645,1052023,587913,110709
Phoenix,1920473,2015,37718,1882755,1129972,622344,130439
Phoenix,1671473,2010,34271,1637202,968424,568915,99863
Phoenix,1771920,2012,36884,1735036,1031914,597535,105587
Phoenix,2156635,2019,41306,2115329,1203940,724549,186840
Phoenix,1787166,2021,49067,1738099,1068965,558950,110184
Phoenix,1712701,2011,33006,1679695,1001611,573063,105021
Phoenix,1913284,2022,43643,1869641,1128245,629870,111526
Phoenix,1850458,2014,36341,1814117,1104765,604837,104515
Phoenix,2035158,2017,37765,1997393,1173900,674763,148730
Phoenix,2004889,2023,45898,1958991,1158561,663549,136881
Phoenix,1969362,2016,45085,1924277,1147664,626686,149927
"Pittsburgh,",1046303,2011,32638,1013665,618288,315937,79440
"Pittsburgh,",889849,2021,26024,863825,534459,269524,59842
"Pittsburgh,",1078307,2015,30810,1047497,622287,338419,86791
"Pittsburgh,",1078091,2014,28933,1049158,628088,336857,84213
"Pittsburgh,",1085621,2018,29184,1056437,620340,349137,86960
"Pittsburgh,",1018500,2023,29707,988793,604484,315104,69205
"Pittsburgh,",1082263,2017,29742,1052521,607015,354101,91405
"Pittsburgh,",1076505,2013,30328,1046177,630049,336049,80079
"Pittsburgh,",956275,2022,29627,926648,557188,300632,68828
"Pittsburgh,",1077328,2016,31334,1045994,612981,346902,86111
"Pittsburgh,",1075791,2019,28109,1047682,598451,356922,92309
"Pittsburgh,",1074950,2012,33502,1041448,623964,330006,87478
"Pittsburgh,",1041694,2010,35848,1005846,612505,314819,78522
Riverside,1752109,2016,29548,1722561,912793,498968,310800
Riverside,1881728,2023,31138,1850590,960818,556235,333537
Riverside,1883477,2019,30730,1852747,955222,550315,347210
Riverside,1694146,2021,37601,1656545,877066,500475,279004
Riverside,1581538,2012,35352,1546186,854538,433041,258607
Riverside,1542364,2011,34370,1507994,831837,424824,251333
Riverside,1806328,2017,33174,1773154,951065,513626,308463
Riverside,1553153,2010,42666,1510487,843697,421621,245169
Riverside,1858427,2022,38045,1820382,952419,551897,316066
Riverside,1734404,2015,34207,1700197,938046,469640,292511
Riverside,1888778,2018,35319,1853459,990022,528840,334597
Riverside,1617168,2013,35670,1581498,863706,457884,259908
Riverside,1669146,2014,32660,1636486,887398,478277,270811
San Antonio,1081096,2017,16100,1064996,655032,336610,73354
San Antonio,1027594,2015,15386,1012208,617718,323189,71301
San Antonio,922848,2011,23495,899353,570415,274160,54778
San Antonio,1158502,2019,22671,1135831,671800,372384,91647
San Antonio,1090691,2022,22119,1068572,642128,348207,78237
San Antonio,990802,2013,25254,965548,622901,282593,60054
San Antonio,1114952,2023,21128,1093824,641699,365028,87097
San Antonio,1019269,2014,20727,998542,630391,306891,61260
San Antonio,1101570,2018,17672,1083898,652886,357853,73159
San Antonio,1019865,2021,22830,997035,613468,318222,65345
San Antonio,1058898,2016,18331,1040567,626670,342654,71243
San Antonio,933859,2010,24053,909806,576388,283269,50149
San Antonio,971730,2012,23624,948106,607079,283880,57147
San Diego,1350683,2022,24321,1326362,832296,413607,80459
San Diego,1239125,2021,21675,1217450,801450,351231,64769
San Diego,1327049,2011,25225,1301824,879316,348143,74365
San Diego,1476292,2015,21318,1454974,908433,440982,105559
San Diego,1307266,2010,28411,1278855,855263,350068,73524
San Diego,1546445,2019,17049,1529396,903354,502614,123428
San Diego,1535345,2017,19388,1515957,924349,482241,109367
San Diego,1383027,2013,22591,1360436,894498,386819,79119
San Diego,1430884,2014,27989,1402895,905122,406376,91397
San Diego,1407306,2023,32414,1374892,856332,429871,88689
San Diego,1540361,2018,19489,1520872,921701,485615,113556
San Diego,1490686,2016,22833,1467853,911008,450503,106342
San Diego,1361160,2012,24230,1336930,880861,379545,76524
San Francisco,1864429,2023,25181,1839248,924544,636185,278519
